m	n	k	tfull	teager	tlazy	pfe	hfe	pfl	hfl	ple	hle
100	16	1	0.00257042665817	0.002188594676371	0.002197224965514	4.07E-05	1	0.000160463837168	1	0.000222226517909	1
100	16	2	0.002557831101043	0.004159332864654	0.004055069641768	1.73E-06	1	1.73E-06	1	3.40E-05	1
100	16	4	0.002562029620085	0.008237261110098	0.007831637520392	1.73E-06	1	1.73E-06	1	1.73E-06	1
100	32	1	0.00483622743471	0.002145443230658	0.002184162906271	1.73E-06	1	1.73E-06	1	0.000453040446382	1
100	32	2	0.00496008374646	0.004465125001574	0.004083759521891	0.001035681303546	1	0.000615640620701	1	0.003609433349384	1
100	32	4	0.004853021510879	0.009036612485556	0.008471678423297	1.73E-06	1	1.73E-06	1	2.60E-05	1
100	32	8	0.004843924719621	0.01672736636697	0.0155811706684	1.73E-06	1	1.73E-06	1	3.11E-05	1
100	64	1	0.00865338099741	0.002583955219529	0.002630138928995	1.73E-06	1	1.73E-06	1	1.73E-06	1
100	64	2	0.008642884699804	0.00410171985335	0.003991158851901	1.73E-06	1	1.73E-06	1	3.72E-05	1
100	64	4	0.008706328987555	0.010215230081176	0.009731933889186	0.004681835234145	1	0.065641143410259	0	0.000222482664581	1
100	64	8	0.008615127823912	0.016565956634896	0.014979382938991	1.73E-06	1	1.73E-06	1	0.000388111428775	1
100	64	16	0.00863215515114	0.035688811366604	0.03182407458809	1.73E-06	1	1.73E-06	1	0.000261343092267	1
100	100	1	0.012574564531937	0.002301021686284	0.002342307123534	1.73E-06	1	1.73E-06	1	0.000306499869218	1
100	100	2	0.011837257937883	0.00399908938787	0.003942875882914	1.73E-06	1	1.73E-06	1	2.37E-05	1
100	100	4	0.011789441471012	0.00860649753477	0.008790299368403	0.000114992175436	1	4.73E-06	1	0.000306499869218	1
100	100	8	0.011823029623351	0.017532549018876	0.015616391578144	3.18E-06	1	1.80E-05	1	3.11E-05	1
100	100	16	0.011895803953419	0.036890754068015	0.030187118663677	1.73E-06	1	1.73E-06	1	1.73E-06	1
100	100	25	0.011920761816615	0.057250072657704	0.042755385417051	1.73E-06	1	1.73E-06	1	2.88E-06	1
500	16	1	0.100148440973254	0.025270652865046	0.024900250185085	1.73E-06	1	1.73E-06	1	0.115608187623984	0
500	16	2	0.098082069851228	0.050481593459267	0.042812998428354	1.73E-06	1	1.73E-06	1	0.000135947670367	1
500	16	4	0.098034486635414	0.100036713716515	0.077958568081086	0.017518393579685	1	1.73E-06	1	1.73E-06	1
500	32	1	0.195214341394645	0.025475680544949	0.025125570707026	1.73E-06	1	1.73E-06	1	0.120444727908325	0
500	32	2	0.194946102678049	0.051028567190066	0.043776791799639	1.73E-06	1	1.73E-06	1	2.60E-06	1
500	32	4	0.195184252008175	0.101765803808803	0.079360640190184	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	32	8	0.194908082755609	0.203680888294669	0.152245764510665	1.64E-05	1	1.73E-06	1	1.73E-06	1
500	64	1	0.375222813073069	0.026665494191349	0.027373411152106	1.73E-06	1	1.73E-06	1	0.00138203585744	1
500	64	2	0.379805030105714	0.053023563488372	0.045811674028848	1.73E-06	1	1.73E-06	1	2.37E-05	1
500	64	4	0.37908778310264	0.103847802751709	0.080874672807078	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	64	8	0.376256815012785	0.209160422147095	0.153869658375836	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	64	16	0.383768665332782	0.423940328781361	0.297258413715535	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	128	1	0.725694889889173	0.027755476384963	0.029666502302421	1.73E-06	1	1.73E-06	1	0.001592701502087	1
500	128	2	0.723778732448441	0.053200834292384	0.046825383126525	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	128	4	0.713251412451781	0.109845153952696	0.08678548786558	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	128	8	0.711480337169069	0.218678698067235	0.163085174422809	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	128	16	0.720370001488142	0.443386469479332	0.314109869645314	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	128	32	0.707127639177408	0.887899774819429	0.615760400781298	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	256	1	1.28829574181534	0.031626977444156	0.035412175611922	1.73E-06	1	1.73E-06	1	2.37E-05	1
500	256	2	1.29049576579355	0.063259552913702	0.059174393885464	1.73E-06	1	1.73E-06	1	2.60E-06	1
500	256	4	1.29229669721167	0.121099284245804	0.099506067559769	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	256	8	1.28279148335077	0.238309806854129	0.182160912440818	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	256	16	1.27512498757938	0.486759503697729	0.362802893992526	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	256	32	1.2775699251684	0.945284899839663	0.665852231722797	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	256	64	1.27769168222062	1.90223211932378	1.28020729488019	1.73E-06	1	0.877402728394079	0	1.73E-06	1
500	500	1	2.19695392778454	0.028451031039651	0.035512240315766	1.73E-06	1	1.73E-06	1	2.84E-05	1
500	500	2	2.20751903445258	0.06562821740678	0.065159849282496	1.73E-06	1	1.73E-06	1	0.00077121736521	1
500	500	4	2.18515772203285	0.137087011508141	0.115331218834743	1.73E-06	1	1.73E-06	1	1.92E-06	1
500	500	8	2.18597993201198	0.273012199496831	0.214799966225247	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	500	16	2.17922218236221	0.5342718111898	0.407389066963113	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	500	32	2.1402571266362	1.07901169660755	0.81568967906054	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	500	64	2.15337633238836	2.08157395947869	1.38660523144803	0.013194169865414	1	1.73E-06	1	1.73E-06	1
500	500	125	2.1341650755057	4.03278786795937	2.44045870220044	1.73E-06	1	2.13E-06	1	1.73E-06	1
1000	16	1	0.48987783709093	0.120979626453096	0.120420990169401	1.73E-06	1	1.73E-06	1	0.078646660274104	0
1000	16	2	0.484795996292241	0.243778377906833	0.188048402393529	1.73E-06	1	1.73E-06	1	1.73E-06	1
1000	16	4	0.485763521680453	0.491506395977259	0.325102758753562	0.038723026479359	1	1.73E-06	1	1.73E-06	1
1000	32	1	0.968742725482631	0.121939221305338	0.122572031425449	1.73E-06	1	1.73E-06	1	0.082206465950993	0
1000	32	2	0.966755426469237	0.24365148933133	0.189896450525351	1.73E-06	1	1.73E-06	1	1.73E-06	1
1000	32	4	0.966741897907878	0.490797779263328	0.327956352196035	1.73E-06	1	1.73E-06	1	1.73E-06	1
1000	32	8	0.965619727068272	0.985704975664917	0.602783711425523	3.88E-06	1	1.73E-06	1	1.73E-06	1
1000	64	1	1.92657140071459	0.120967730649142	0.12331073752585	1.73E-06	1	1.73E-06	1	2.16E-05	1
1000	64	2	1.92555279334469	0.246542636194126	0.19455307464547	1.73E-06	1	1.73E-06	1	1.73E-06	1
1000	64	4	1.92364783195474	0.498321058885163	0.333703425011884	1.73E-06	1	1.73E-06	1	1.73E-06	1
1000	64	8	1.92402359940904	1.00129057810342	0.611035200850154	1.73E-06	1	1.73E-06	1	1.73E-06	1
1000	64	16	1.91849741534503	1.99445888786829	1.16469857199037	1.92E-06	1	1.73E-06	1	1.73E-06	1
1000	128	1	3.84693878979088	0.122094100007791	0.128649387739298	1.73E-06	1	1.73E-06	1	2.84E-05	1
1000	128	2	3.84041289169267	0.249177206893222	0.203264068654183	1.73E-06	1	1.73E-06	1	1.73E-06	1
1000	128	4	3.83066789574424	0.510430287556569	0.34737193700542	1.73E-06	1	1.73E-06	1	1.73E-06	1
1000	128	8	3.8312195344962	1.03234748996204	0.638318110591791	1.73E-06	1	1.73E-06	1	1.73E-06	1
1000	128	16	3.82408765014954	2.0447988979354	1.19786593942097	1.73E-06	1	1.73E-06	1	1.73E-06	1
1000	128	32	3.81340125293138	4.14401433467701	2.31894866284166	1.73E-06	1	1.73E-06	1	1.73E-06	1
1000	256	1	8.1482	0.13	0.14807	1.73E-06	1	1.73E-06	1	2.16E-05	1
1000	256	2	8.183	0.2675	0.2304	1.73E-06	1	1.73E-06	1	2.35E-06	1
1000	256	4	8.2034	0.53686	0.38374	1.73E-06	1	1.73E-06	1	1.92E-06	1
