m	n	k	tfull	teager	tlazy	pfe	hfe	pfl	hfl	ple	hle
500	2	1	0.014326	0.027552	0.025779	1.73E-06	1	1.73E-06	1	0.71889	0
500	4	1	0.028035	0.026883	0.030774	0.94261	0	0.28021	0	0.62884	0
500	4	2	0.028323	0.055846	0.048381	1.73E-06	1	1.73E-06	1	0.0007157	1
500	8	1	0.057226	0.031004	0.030047	1.73E-06	1	1.73E-06	1	0.95899	0
500	8	2	0.054891	0.058218	0.041999	0.042767	1	5.22E-06	1	1.13E-05	1
500	8	4	0.054748	0.11396	0.076714	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	16	1	0.10845	0.026212	0.025176	1.73E-06	1	1.73E-06	1	0.023038	1
500	16	2	0.10846	0.05736	0.043325	1.73E-06	1	1.73E-06	1	1.36E-05	1
500	16	4	0.10805	0.10568	0.078155	0.24519	0	1.92E-06	1	2.60E-06	1
500	16	8	0.09985	0.21076	0.14663	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	32	1	0.20807	0.028619	0.026245	1.73E-06	1	1.73E-06	1	0.31849	0
500	32	2	0.20859	0.053603	0.043355	1.73E-06	1	1.73E-06	1	2.88E-06	1
500	32	4	0.20567	0.10818	0.079154	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	32	8	0.2072	0.2272	0.15151	2.16E-05	1	2.13E-06	1	1.92E-06	1
500	32	16	0.20304	0.42711	0.29411	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	64	1	0.38739	0.026235	0.026116	1.73E-06	1	1.73E-06	1	0.68836	0
500	64	2	0.3898	0.051624	0.045446	1.73E-06	1	1.73E-06	1	8.92E-05	1
500	64	4	0.39541	0.1078	0.084394	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	64	8	0.39274	0.21969	0.15773	1.73E-06	1	1.73E-06	1	1.92E-06	1
500	64	16	0.3804	0.42749	0.2979	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	64	32	0.42224	0.9035	0.60641	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	128	1	0.7637	0.029655	0.031992	1.73E-06	1	1.73E-06	1	0.0046818	1
500	128	2	0.76324	0.056126	0.050383	1.73E-06	1	1.73E-06	1	7.69E-06	1
500	128	4	0.71849	0.11046	0.08728	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	128	8	0.71655	0.22142	0.16185	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	128	16	0.71496	0.44136	0.3113	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	128	32	0.70881	0.88225	0.6049	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	128	64	0.69927	1.7665	1.1791	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	256	1	1.3263	0.029834	0.033443	1.73E-06	1	1.73E-06	1	0.0019646	1
500	256	2	1.3416	0.061949	0.056426	1.73E-06	1	1.73E-06	1	6.32E-05	1
500	256	4	1.2943	0.12161	0.09677	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	256	8	1.2689	0.24398	0.18405	1.73E-06	1	1.73E-06	1	1.92E-06	1
500	256	16	1.2933	0.48458	0.3526	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	256	32	1.2912	0.9401	0.66368	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	256	64	1.2782	1.8709	1.254	1.73E-06	1	0.007271	1	1.73E-06	1
500	256	128	1.2926	3.8167	2.3924	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	500	1	2.2438	0.032413	0.042369	1.73E-06	1	1.73E-06	1	2.60E-06	1
500	500	2	2.3581	0.060986	0.056421	1.73E-06	1	1.73E-06	1	0.34935	0
500	500	4	2.5047	0.14971	0.12583	1.73E-06	1	1.73E-06	1	2.13E-06	1
500	500	8	2.4633	0.28977	0.21549	1.73E-06	1	1.73E-06	1	1.92E-06	1
500	500	16	2.6883	0.60302	0.41351	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	500	32	2.6813	1.1339	0.74887	1.73E-06	1	1.73E-06	1	1.73E-06	1
500	500	64	2.4203	2.1953	1.4029	1.92E-06	1	1.73E-06	1	1.73E-06	1
500	500	128	2.4362	4.3243	2.4812	1.73E-06	1	0.016566	1	1.73E-06	1
500	500	125	2.434	4.2513	2.4875	1.73E-06	1	0.22888	0	1.73E-06	1
